bvets motor noise table 0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.555556,0.666667,0.113379,0,0,0,0,0,0,0,0.677507,0,0,0,0
8.2,0.560889,0.167347,0,0,0,0,0,0,0,1,0.138856,0,0,0
11.111111,0.444444,0.226757,0,0,0,0,0,0,0,0.656168,0.291715,0,0,0
16.666667,0.222222,0.340136,0.25,0,0,0,0,0,0,0,0.583431,0,0,0
19.6,0.104889,0.4,0.382,0,0,0,0,0,0,0,0.737456,0,0,0
19.8,0.096889,0.397368,0.391,0.6,0,0,0,0,0,0,0.747958,0,0,0
20,0.088889,0.394737,0.4,0.603509,0,0,0,0,0,0,0.75846,0,0,0
22.222222,0,0.365497,0.439683,0.642495,0,0,0,0,0,0,0.875146,0,0,0
24.6,0,0.334211,0.482143,0.684211,0,0,0,0,0,0,1,0.123986,0.107,0
30.8,0,0.252632,0.592857,0.792982,0,0,0,0,0,0,0.68757,0.447277,0.386,0
31,0,0.25,0.596429,0.796491,0,0.009009,0,0,0,0,0.677492,0.457706,0.395,0
31.1,0,0.003565,0.598214,0.798246,0.5,0.013514,0,0,0,0,0.672452,0.46292,0.3995,0
31.2,0,0.003565,0.6,0.8,1,0.018018,0,0,0,0,0.667413,0.468134,0.404,0
31.4,0,0.003565,0,0,0.984899,0.027027,0,0,0,0,0.657335,0.478563,0.413,0
41.4,0,0.003565,0,0,0.229866,0.477477,0,0,0,0,0.153415,1,0.863,0
44.444444,0,0.003565,0,0,0,0.614615,0,0,0,0,0,0.845547,1,0
53,0,0.003565,0,0,0,1,0,0,0,0,0,0.411499,0.615,0.205197
61.111111,0,0.003565,0,0,0,0.732601,0,0,0,0,0,0,0.25,0.399734
66.666667,0,0.003565,0,0,0,0.549451,0,0,0,0,0,0,0,0.532978
77.8,0,0.003565,0,0,0,0.182418,0,0,0,0,0,0,0,0.8
83.333333,0,0.003565,0,0,0,0,0,0,0,0,0,0,0,0.84985
100,0,0.003565,0,0,0,0,0,0,0,0,0,0,0,1
