bvets motor noise table 0.01
0,1,1,1,1,1,0.6,1,1,1,0.5,0.5,0.5,0.5,0.6
5.555556,1,1,1,1,1,0.6,1,1,1,1,0.5,0.5,0.5,0.6
16.666667,1,1,1,1,1,0.6,1,1,1,2,0.928571,0.5,0.5,0.6
22.222222,1,1,1,1,1,0.6,1,1,1,2,1.142857,0.5,0.5,0.6
30.6,1,1,1,1,1,0.6,1,1,1,2,1.466,0.823143,0.78275,0.6
44.444444,1,1,1,1,1.443022,0.967552,1,1,1,2,2,1.357143,1.25,0.6
44.6,1,1,1,1,1.448,0.971681,1,1,1,2,2,1.363143,1.25525,0.6
55.6,1,1,1,1,1.8,1.263717,1,1,1,2,2,1.787429,1.6265,0.758845
61.111111,1,1,1,1,1.8,1.410029,1,1,1,2,2,2,1.8125,0.838428
66.666667,1,1,1,1,1.8,1.557522,1,1,1,2,2,2,2,0.918652
83.333333,1,1,1,1,1.8,2,1,1,1,2,2,2,2,1.159326
100,1,1,1,1,1.8,2,1,1,1,2,2,2,2,1.4
